Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
TMA-ZAIN-G-1,MBC,0.009,0.166,0.02,0.005,0.542,0.004,0.006,0.007,0.005,0.017,0.009,0.018,0.015,0.008,0.005,0.015,0.014,0.074,0.019,0.009,0.026,0.006
TMA-ZAIN-G-2,MBC,0.004,0.158,0.018,0.014,0.469,0.047,0.013,0.009,0.007,0.007,0.099,0.007,0.004,0.006,0.009,0.009,0.006,0.079,0.007,0.012,0.013,0.004
TMA-ZAIN-G-3,MBC,0.037,0.158,0.02,0.011,0.005,0.007,0.006,0.048,0.035,0.017,0.007,0.004,0.014,0.003,0.022,0.527,0.017,0.004,0.024,0.006,0.005,0.026
TMA-ZAIN-G-4,MBC,0.01,0.038,0.02,0.021,0.006,0.007,0.516,0.052,0.018,0.015,0.009,0.006,0.006,0.004,0.069,0.127,0.007,0.005,0.009,0.02,0.008,0.027
TMA-ZAIN-G-5,MBC,0.003,0.003,0.003,0.003,0.907,0.002,0.004,0.003,0.003,0.002,0.005,0.003,0.004,0.005,0.003,0.004,0.002,0.023,0.002,0.005,0.007,0.002
TMA-ZAIN-G-6,MBC,0.054,0.122,0.089,0.005,0.023,0.011,0.038,0.012,0.034,0.012,0.008,0.024,0.152,0.031,0.015,0.241,0.02,0.024,0.012,0.021,0.012,0.041
TMA-ZAIN-G-7,MBC,0.117,0.054,0.264,0.047,0.01,0.015,0.068,0.023,0.147,0.036,0.011,0.008,0.015,0.005,0.035,0.047,0.015,0.007,0.047,0.01,0.011,0.007
TMA-ZAIN-G-8,MBC,0.818,0.011,0.017,0.008,0.004,0.008,0.004,0.012,0.008,0.004,0.012,0.003,0.005,0.002,0.01,0.036,0.009,0.004,0.007,0.008,0.004,0.009
TMA-ZAIN-G-9,MBC,0.015,0.251,0.093,0.063,0.005,0.03,0.006,0.018,0.204,0.007,0.005,0.005,0.029,0.005,0.125,0.055,0.027,0.005,0.031,0.004,0.005,0.015
TMA-ZAIN-G-10,MBC,0.027,0.057,0.163,0.068,0.003,0.018,0.008,0.016,0.054,0.009,0.011,0.006,0.037,0.004,0.19,0.043,0.052,0.005,0.194,0.007,0.003,0.023
TMA-ZAIN-G-11,MBC,0.013,0.016,0.24,0.309,0.006,0.016,0.021,0.006,0.171,0.008,0.004,0.007,0.007,0.005,0.03,0.012,0.075,0.005,0.03,0.007,0.008,0.005
TMA-ZAIN-G-12,MBC,0.013,0.02,0.012,0.016,0.005,0.006,0.005,0.384,0.055,0.02,0.005,0.005,0.007,0.003,0.216,0.107,0.021,0.005,0.079,0.004,0.005,0.005
TMA-ZAIN-G-13,MBC,0.022,0.013,0.038,0.088,0.026,0.128,0.013,0.021,0.242,0.066,0.016,0.02,0.01,0.041,0.039,0.01,0.05,0.017,0.082,0.011,0.032,0.014
TMA-ZAIN-G-14,MBC,0.007,0.008,0.013,0.019,0.003,0.015,0.005,0.007,0.016,0.691,0.008,0.009,0.011,0.011,0.024,0.008,0.066,0.005,0.057,0.008,0.003,0.006
TMA-ZAIN-G-15,MBC,0.007,0.288,0.027,0.003,0.002,0.003,0.003,0.004,0.006,0.563,0.006,0.003,0.004,0.002,0.004,0.006,0.016,0.004,0.032,0.006,0.003,0.007
TMA-ZAIN-G-16,MBC,0.006,0.008,0.013,0.121,0.002,0.008,0.005,0.076,0.071,0.005,0.004,0.004,0.007,0.003,0.486,0.136,0.017,0.004,0.011,0.003,0.004,0.005
TMA-ZAIN-G-17,MBC,0.22,0.133,0.011,0.008,0.007,0.005,0.081,0.01,0.029,0.014,0.017,0.018,0.014,0.01,0.014,0.006,0.276,0.012,0.092,0.014,0.004,0.007
TMA-ZAIN-G-18,MBC,0.007,0.005,0.003,0.003,0.023,0.003,0.01,0.012,0.003,0.006,0.056,0.046,0.009,0.006,0.005,0.01,0.005,0.353,0.004,0.02,0.407,0.004
TMA-ZAIN-G-19,MBC,0.065,0.017,0.012,0.017,0.013,0.006,0.036,0.023,0.032,0.009,0.006,0.457,0.172,0.027,0.017,0.013,0.021,0.012,0.017,0.003,0.022,0.005
TMA-ZAIN-G-20,MBC,0.004,0.004,0.004,0.003,0.032,0.005,0.006,0.003,0.003,0.004,0.029,0.683,0.007,0.06,0.004,0.005,0.003,0.055,0.003,0.034,0.044,0.005
