Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
TMA-ZAIN-G-1,MBC,0.012,0.006,0.191,0.543,0.009,0.006,0.004,0.015,0.008,0.006,0.005,0.007,0.015,0.007,0.005,0.018,0.017,0.006,0.014,0.005,0.011,0.004,0.023,0.063
TMA-ZAIN-G-2,MBC,0.003,0.021,0.17,0.44,0.014,0.007,0.041,0.006,0.004,0.015,0.005,0.01,0.008,0.106,0.011,0.01,0.006,0.004,0.01,0.005,0.005,0.004,0.015,0.08
TMA-ZAIN-G-3,MBC,0.014,0.017,0.075,0.005,0.006,0.043,0.008,0.025,0.037,0.006,0.027,0.022,0.018,0.013,0.025,0.003,0.004,0.036,0.548,0.04,0.016,0.003,0.005,0.003
TMA-ZAIN-G-4,MBC,0.006,0.02,0.015,0.006,0.016,0.048,0.007,0.008,0.01,0.524,0.075,0.023,0.014,0.008,0.016,0.004,0.004,0.021,0.138,0.014,0.006,0.004,0.007,0.004
TMA-ZAIN-G-5,MBC,0.005,0.002,0.003,0.891,0.006,0.004,0.002,0.002,0.003,0.004,0.003,0.003,0.002,0.005,0.003,0.006,0.003,0.002,0.004,0.002,0.002,0.004,0.007,0.03
TMA-ZAIN-G-6,MBC,0.15,0.005,0.079,0.021,0.019,0.013,0.01,0.011,0.058,0.037,0.014,0.072,0.014,0.013,0.02,0.02,0.021,0.037,0.263,0.034,0.023,0.032,0.012,0.022
TMA-ZAIN-G-7,MBC,0.016,0.059,0.056,0.008,0.011,0.029,0.016,0.037,0.112,0.078,0.032,0.19,0.029,0.034,0.107,0.005,0.008,0.007,0.038,0.09,0.015,0.004,0.012,0.006
TMA-ZAIN-G-8,MBC,0.005,0.009,0.009,0.004,0.008,0.011,0.007,0.006,0.806,0.004,0.008,0.017,0.004,0.013,0.009,0.002,0.003,0.008,0.039,0.008,0.007,0.002,0.004,0.004
TMA-ZAIN-G-9,MBC,0.024,0.083,0.24,0.004,0.005,0.014,0.025,0.019,0.012,0.007,0.112,0.089,0.006,0.009,0.178,0.005,0.005,0.015,0.028,0.088,0.021,0.004,0.005,0.004
TMA-ZAIN-G-10,MBC,0.035,0.059,0.034,0.003,0.007,0.015,0.015,0.158,0.022,0.009,0.066,0.167,0.008,0.064,0.168,0.004,0.005,0.02,0.027,0.077,0.029,0.004,0.003,0.004
TMA-ZAIN-G-11,MBC,0.009,0.192,0.016,0.005,0.006,0.007,0.011,0.022,0.012,0.02,0.031,0.097,0.007,0.005,0.038,0.005,0.006,0.005,0.006,0.387,0.095,0.006,0.007,0.005
TMA-ZAIN-G-12,MBC,0.007,0.015,0.017,0.005,0.004,0.284,0.005,0.058,0.012,0.004,0.279,0.01,0.015,0.01,0.139,0.002,0.004,0.005,0.06,0.032,0.019,0.003,0.005,0.005
TMA-ZAIN-G-13,MBC,0.009,0.079,0.01,0.027,0.011,0.015,0.133,0.071,0.022,0.011,0.02,0.023,0.071,0.018,0.14,0.048,0.015,0.014,0.007,0.156,0.046,0.013,0.026,0.015
TMA-ZAIN-G-14,MBC,0.01,0.017,0.007,0.003,0.006,0.006,0.012,0.042,0.008,0.005,0.019,0.014,0.698,0.009,0.022,0.006,0.008,0.006,0.005,0.014,0.061,0.016,0.003,0.005
