"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1250,1088.6,1165.2,141.7,19.7,0,0,0,0
"3",1507.4,1274.7,1382.5,203.6,29.1,0,0,0,0
"4",1707.1,1398.3,1533.6,266,42.8,0,0,0,0
"5",1836.2,1476.7,1641.5,315.5,44,0,0,0,0
"6",1949.9,1525.1,1706.7,359.8,65,0,0,0,0
"7",2053.1,1566.5,1778.2,418.1,68.5,0,0,0,0
"8",2128.7,1596.3,1825.8,454.4,78,0,0,0,0
"9",2209.9,1620.7,1865.1,501.1,88.1,0,0,0,0
"10",2281,1637,1898.7,537.5,106.5,0,0,0,0
"11",2330.6,1648,1923.3,572.9,109.7,0,0,0,0
"12",2375.6,1660.5,1944.8,598.4,116.7,0,0,0,0
"13",2427.1,1667.1,1964.3,632.3,127.7,0,0,0,0
"14",2481.4,1675.6,1986.5,669.1,136.7,0,0,0,0
"15",2504.7,1680.5,1991.6,682,142.2,0,0,0,0
"16",2559.3,1684.2,2011.9,716.9,158.2,0,0,0,0
"17",2596.7,1688,2026.6,742,166.7,0,0,0,0
"18",2616,1689.3,2026.3,758.1,168.6,0,0,0,0
"19",2656.9,1693.2,2038.3,781.9,181.8,0,0,0,0
"20",2673.2,1693.3,2040.3,796.5,183.4,0,0,0,0
"21",2710.8,1695.5,2050.8,825.1,190.2,0,0,0,0
"22",2734,1695.7,2059.1,840.1,198.2,0,0,0,0
"23",2748.1,1695.8,2058.6,847.1,205.2,0,0,0,0
"24",2779.6,1696.5,2064.8,873,210.1,0,0,0,0
"25",2803.7,1697.7,2066.7,878,228,0,0,0,0
"26",2824.5,1697.9,2072,895.5,231.1,0,0,0,0
"27",2850.5,1698.4,2072.5,913.8,238.3,0,0,0,0
"28",2865.4,1699.1,2077.3,917.4,248.9,0,0,0,0
"29",2878.7,1699.1,2081.4,925.3,254.3,0,0,0,0
"30",2891.6,1699,2083.1,940.5,252.1,0,0,0,0
"31",2933.1,1699.7,2084,956.1,277.3,0,0,0,0
"32",2929.8,1699.4,2085.8,953.7,276.7,0,0,0,0
"33",2954.5,1699.8,2088.3,968.7,286,0,0,0,0
"34",2977.9,1699.8,2089.6,977.9,300.2,0,0,0,0
"35",2983.4,1699.7,2090.2,988.8,294.9,0,0,0,0
"36",3007.9,1699.6,2089.9,993.5,314.8,0,0,0,0
"37",3020.5,1699.9,2091.1,998.3,322.3,0,0,0,0
"38",3031,1699.9,2094.1,1010,321.1,0,0,0,0
"39",3036.4,1700,2093.5,1010.6,325.8,0,0,0,0
"40",3057.1,1700,2093.6,1018.5,338.6,0,0,0,0
"41",3064.7,1699.9,2094.3,1026.8,338,0,0,0,0
"42",3086,1700,2095.7,1036.1,349.9,0,0,0,0
"43",3100.9,1700,2097,1044,356.9,0,0,0,0
"44",3111.8,1700,2097,1048.3,363.5,0,0,0,0
"45",3123,1700,2096.2,1053.8,369.2,0,0,0,0
"46",3128.2,1700,2097.9,1058.5,369.7,0,0,0,0
"47",3132.5,1700,2097.2,1055.4,377.1,0,0,0,0
"48",3161.2,1700,2098.4,1073.6,387.6,0,0,0,0
"49",3168.9,1700,2098.1,1072.4,396.5,0,0,0,0
"50",3176.6,1700,2098.1,1078.4,398.2,0,0,0,0
"51",3172.5,1700,2098.2,1071,401.5,0,0,0,0
"52",3201.8,1700,2097.7,1086.4,415.4,0,0,0,0
"53",3203.8,1700,2098.6,1083.5,420.3,0,0,0,0
"54",3220.7,1700,2098.7,1091,429.7,0,0,0,0
"55",3219.2,1700,2099.1,1094.5,424.7,0,0,0,0
"56",3233.4,1700,2098.7,1095.9,437.5,0,0,0,0
"57",3247.8,1700,2099.4,1100.8,447,0,0,0,0
"58",3247.4,1700,2099.5,1098.9,448.5,0,0,0,0
"59",3262.8,1700,2099.1,1106.1,456.7,0,0,0,0
"60",3258.8,1700,2099.3,1105.9,452.9,0,0,0,0
"61",3276.7,1700,2099.5,1113.5,463.2,0,0,0,0
"62",3292.7,1700,2099.6,1112.9,479.8,0,0,0,0
"63",3284.1,1700,2099.6,1114.8,469.3,0,0,0,0
"64",3289.6,1700,2099.5,1119,470.6,0,0,0,0
"65",3291.5,1700,2099.6,1113.7,477.8,0,0,0,0
"66",3313.3,1700,2099.7,1122.1,491.2,0,0,0,0
"67",3335.5,1700,2099.8,1128.8,506.7,0,0,0,0
"68",3329.1,1700,2099.8,1125.9,503.2,0,0,0,0
"69",3330.4,1700,2099.6,1128.8,501.6,0,0,0,0
"70",3331.1,1700,2099.8,1129.6,501.5,0,0,0,0
"71",3351.9,1700,2099.9,1135.3,516.6,0,0,0,0
"72",3359.4,1700,2099.7,1138.2,521.2,0,0,0,0
"73",3362.9,1700,2099.9,1137.1,525.8,0,0,0,0
"74",3372.9,1700,2099.9,1140.2,532.7,0,0,0,0
"75",3378.7,1700,2099.7,1139.6,539.1,0,0,0,0
"76",3381,1700,2099.9,1139.6,541.4,0,0,0,0
"77",3389.7,1700,2100,1142.5,547.2,0,0,0,0
"78",3386,1700,2099.9,1145.1,540.9,0,0,0,0
"79",3400.3,1700,2100,1151.2,549.1,0,0,0,0
"80",3415.8,1700,2099.9,1151.4,564.4,0,0,0,0
"81",3410.3,1700,2100,1151.6,558.7,0,0,0,0
"82",3413.6,1700,2099.9,1149.3,564.3,0,0,0,0
"83",3433.8,1700,2100,1152.1,581.7,0,0,0,0
"84",3440.5,1700,2100,1156.8,583.7,0,0,0,0
"85",3440.2,1700,2099.9,1156.7,583.5,0,0,0,0
"86",3444.2,1700,2099.9,1158.7,585.5,0,0,0,0
"87",3448.9,1700,2100,1156.8,592.1,0,0,0,0
"88",3463.3,1700,2100,1158,605.3,0,0,0,0
"89",3459.6,1700,2100,1158.7,600.9,0,0,0,0
"90",3465.9,1700,2100,1159.6,606.3,0,0,0,0
"91",3466.1,1700,2100,1160.1,606,0,0,0,0
"92",3469.4,1700,2099.9,1159.7,609.7,0,0,0,0
"93",3485.9,1700,2100,1164.5,621.4,0,0,0,0
"94",3490.3,1700,2099.9,1164.6,625.7,0,0,0,0
"95",3494.7,1700,2100,1166.7,628,0,0,0,0
"96",3508.2,1700,2100,1169.9,638.3,0,0,0,0
"97",3503.8,1700,2100,1168.1,635.7,0,0,0,0
"98",3513.7,1700,2100,1169.3,644.4,0,0,0,0
"99",3505.4,1700,2100,1167.9,637.5,0,0,0,0
"100",3521.3,1700,2100,1171.4,649.9,0,0,0,0
"101",3516.3,1700,2100,1171.3,645,0,0,0,0
"102",3515.5,1700,2100,1172,643.5,0,0,0,0
"103",3521.1,1700,2100,1170.8,650.3,0,0,0,0
"104",3533.9,1700,2100,1172.4,661.5,0,0,0,0
"105",3532.7,1700,2100,1173,659.7,0,0,0,0
"106",3543,1700,2100,1174.1,668.9,0,0,0,0
"107",3553.8,1700,2100,1176.8,677,0,0,0,0
"108",3545.3,1700,2100,1176.2,669.1,0,0,0,0
"109",3556.5,1700,2100,1175,681.5,0,0,0,0
"110",3552.7,1700,2100,1176.2,676.5,0,0,0,0
"111",3565.1,1700,2100,1177.2,687.9,0,0,0,0
"112",3564.1,1700,2100,1180.8,683.3,0,0,0,0
"113",3574.9,1700,2100,1178.3,696.6,0,0,0,0
"114",3579.2,1700,2100,1177.7,701.5,0,0,0,0
"115",3578.3,1700,2100,1181.1,697.2,0,0,0,0
"116",3580.9,1700,2100,1180,700.9,0,0,0,0
"117",3581.8,1700,2100,1182,699.8,0,0,0,0
"118",3591.9,1700,2100,1178.3,713.6,0,0,0,0
"119",3584.2,1700,2100,1181.9,702.3,0,0,0,0
"120",3598.2,1700,2100,1182.4,715.8,0,0,0,0
"121",3611.2,1700,2100,1183.1,728.1,0,0,0,0
"122",3608.9,1700,2100,1183.9,725,0,0,0,0
"123",3611.5,1700,2100,1184.5,727,0,0,0,0
"124",3597.9,1700,2100,1184.2,713.7,0,0,0,0
"125",3613.6,1700,2100,1185.2,728.4,0,0,0,0
"126",3621.8,1700,2100,1184.3,737.5,0,0,0,0
"127",3622,1700,2100,1184.6,737.4,0,0,0,0
"128",3634.6,1700,2100,1185.2,749.4,0,0,0,0
"129",3620.2,1700,2100,1186.3,733.9,0,0,0,0
"130",3633.7,1700,2100,1185.1,748.6,0,0,0,0
"131",3634.6,1700,2100,1187.1,747.5,0,0,0,0
"132",3637.5,1700,2100,1185.3,752.2,0,0,0,0
"133",3647.8,1700,2100,1186.7,761.1,0,0,0,0
"134",3648.6,1700,2100,1188.4,760.2,0,0,0,0
"135",3647.8,1700,2100,1187.2,760.6,0,0,0,0
"136",3652,1700,2100,1187.6,764.4,0,0,0,0
"137",3662.3,1700,2100,1189.5,772.8,0,0,0,0
"138",3662.3,1700,2100,1190.4,771.9,0,0,0,0
"139",3661,1700,2100,1188.7,772.3,0,0,0,0
"140",3662.4,1700,2100,1186.5,775.9,0,0,0,0
"141",3662.7,1700,2100,1189.1,773.6,0,0,0,0
"142",3676.7,1700,2100,1190.9,785.8,0,0,0,0
"143",3682.4,1700,2100,1189.6,792.8,0,0,0,0
"144",3675.4,1700,2100,1191,784.4,0,0,0,0
"145",3681.8,1700,2100,1191.6,790.2,0,0,0,0
"146",3690.8,1700,2100,1189.8,801,0,0,0,0
"147",3678.1,1700,2100,1190.6,787.5,0,0,0,0
"148",3688.5,1700,2100,1189.9,798.6,0,0,0,0
"149",3695.7,1700,2100,1192.3,803.4,0,0,0,0
"150",3688.6,1700,2100,1192.6,796,0,0,0,0
"151",3697.1,1700,2100,1192.3,804.8,0,0,0,0
"152",3696.2,1700,2100,1192.2,804,0,0,0,0
"153",3712.4,1700,2100,1193.8,818.6,0,0,0,0
"154",3705.6,1700,2100,1192.5,813.1,0,0,0,0
"155",3700.2,1700,2100,1192.2,808,0,0,0,0
"156",3711.6,1700,2100,1193.6,818,0,0,0,0
"157",3711.1,1700,2100,1193.7,817.4,0,0,0,0
"158",3715.3,1700,2100,1193.5,821.8,0,0,0,0
"159",3723,1700,2100,1193.3,829.7,0,0,0,0
"160",3721.1,1700,2100,1193.3,827.8,0,0,0,0
"161",3725.1,1700,2100,1194,831.1,0,0,0,0
"162",3721.5,1700,2100,1192.5,829,0,0,0,0
"163",3739.7,1700,2100,1195.4,844.3,0,0,0,0
"164",3729.8,1700,2100,1193.9,835.9,0,0,0,0
"165",3727.3,1700,2100,1194.3,833,0,0,0,0
