"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1248.8,1088.2,1158.8,138.6,22,0,0,0,0
"3",1496.8,1265.9,1372.2,202.7,28.2,0,0,0,0
"4",1697.9,1390.1,1531.2,269.5,38.3,0,0,0,0
"5",1827.2,1472.6,1630.6,307.7,46.9,0,0,0,0
"6",1946.6,1521.5,1704.5,365.4,59.7,0,0,0,0
"7",2043.5,1563.7,1773.7,413.8,66,0,0,0,0
"8",2134.1,1599.7,1822.8,453.7,80.7,0,0,0,0
"9",2201,1618.5,1863.6,496.6,85.9,0,0,0,0
"10",2277.2,1633.4,1895.9,551.9,91.9,0,0,0,0
"11",2317.8,1644.8,1916.9,571.7,101.3,0,0,0,0
"12",2367.4,1656.9,1938.4,595.9,114.6,0,0,0,0
"13",2434.1,1670,1962.6,638.1,126,0,0,0,0
"14",2471,1676.1,1983.6,662.8,132.1,0,0,0,0
"15",2510,1682.2,2002.1,692.5,135.3,0,0,0,0
"16",2551.8,1684.2,2009.1,721,146.6,0,0,0,0
"17",2585.2,1686.6,2020.1,736.1,162.5,0,0,0,0
"18",2610.1,1688.3,2031.3,757,164.8,0,0,0,0
"19",2650.6,1690.8,2034.3,786.6,173.2,0,0,0,0
"20",2677.9,1693.3,2046.9,801.5,183.1,0,0,0,0
"21",2706.1,1695.5,2052.1,815.3,195.3,0,0,0,0
"22",2718,1695.9,2057,827.4,194.7,0,0,0,0
"23",2750.1,1697.3,2061.5,845.2,207.6,0,0,0,0
"24",2778.5,1697.6,2067.9,868.6,212.3,0,0,0,0
"25",2806.6,1697.3,2071.6,881.9,227.4,0,0,0,0
"26",2834.3,1697.9,2071.4,899.6,236.8,0,0,0,0
"27",2844.3,1698.3,2075.3,912.7,233.3,0,0,0,0
"28",2863.1,1699.2,2077.7,921.1,242.8,0,0,0,0
"29",2871.5,1698.7,2077.9,926.1,246.7,0,0,0,0
"30",2900.3,1699.6,2084.4,942.9,257.8,0,0,0,0
"31",2923.8,1699.6,2085.2,949.6,274.6,0,0,0,0
"32",2931.5,1699.4,2085.2,960.1,272,0,0,0,0
"33",2955,1699.6,2087.9,972.6,282.8,0,0,0,0
"34",2975.4,1699.2,2089.3,982.8,293.4,0,0,0,0
"35",2995.5,1699.8,2091.2,990.6,305.1,0,0,0,0
"36",3011.3,1699.8,2092,999,312.5,0,0,0,0
"37",3015.7,1699.9,2092.1,1003.3,312.5,0,0,0,0
"38",3027.7,1699.6,2093,1010.7,317.4,0,0,0,0
"39",3048.4,1699.8,2094.6,1019.5,329.1,0,0,0,0
"40",3056.2,1700,2095.2,1021.3,334.9,0,0,0,0
"41",3066,1699.9,2095.8,1028.3,337.8,0,0,0,0
"42",3077,1700,2097,1029.3,347.7,0,0,0,0
"43",3092.9,1699.9,2095.6,1037.7,355.3,0,0,0,0
"44",3123.4,1699.9,2096.2,1050.4,373.1,0,0,0,0
"45",3121,1699.9,2096.9,1048.9,372.2,0,0,0,0
"46",3132.1,1700,2096.5,1054.8,377.3,0,0,0,0
"47",3132.7,1700,2097.2,1059.3,373.4,0,0,0,0
"48",3157.6,1700,2098.2,1069.2,388.4,0,0,0,0
"49",3160.7,1699.9,2098.3,1075.2,385.6,0,0,0,0
"50",3174.7,1700,2097.4,1077.5,397.2,0,0,0,0
"51",3176.5,1700,2098.7,1078.9,397.6,0,0,0,0
"52",3193.9,1699.9,2098.7,1079.7,414.3,0,0,0,0
"53",3205.4,1700,2098,1087.3,418.1,0,0,0,0
"54",3204.9,1700,2098.9,1089.8,415.1,0,0,0,0
"55",3227.7,1700,2099,1097.2,430.5,0,0,0,0
"56",3230.1,1700,2099.5,1101.7,428.4,0,0,0,0
"57",3234.7,1700,2099.3,1100,434.7,0,0,0,0
"58",3239.7,1700,2099.1,1099.5,440.2,0,0,0,0
"59",3262.3,1700,2099.3,1103.8,458.5,0,0,0,0
"60",3261.5,1700,2099.8,1110.9,450.6,0,0,0,0
"61",3276.9,1700,2098.8,1111.1,465.8,0,0,0,0
"62",3283.4,1700,2099.3,1111.9,471.5,0,0,0,0
"63",3284.7,1700,2099.6,1120.5,464.2,0,0,0,0
"64",3299.5,1700,2099.4,1117.9,481.6,0,0,0,0
"65",3297.2,1700,2099.6,1117.4,479.8,0,0,0,0
"66",3316.4,1700,2099.8,1126.3,490.1,0,0,0,0
"67",3323,1700,2099.7,1128.2,494.8,0,0,0,0
"68",3319.8,1700,2099.9,1127.8,492,0,0,0,0
"69",3323,1700,2099.9,1129.3,493.7,0,0,0,0
"70",3347.8,1700,2100,1134.8,513,0,0,0,0
"71",3357.1,1700,2099.6,1135.7,521.4,0,0,0,0
"72",3360.4,1700,2099.7,1138.2,522.2,0,0,0,0
"73",3361.6,1700,2099.8,1138.3,523.3,0,0,0,0
"74",3370.7,1700,2099.9,1142.1,528.6,0,0,0,0
"75",3376.5,1700,2100,1143.3,533.2,0,0,0,0
"76",3387.1,1700,2099.9,1143.3,543.8,0,0,0,0
"77",3395.4,1700,2099.8,1144,551.4,0,0,0,0
"78",3388,1700,2100,1147.1,540.9,0,0,0,0
"79",3401,1700,2100,1146.8,554.2,0,0,0,0
"80",3417.8,1700,2099.9,1148.4,569.4,0,0,0,0
"81",3421,1700,2100,1148.5,572.5,0,0,0,0
"82",3415.5,1700,2100,1147.4,568.1,0,0,0,0
"83",3420.1,1700,2100,1154.3,565.8,0,0,0,0
"84",3427.4,1700,2100,1157.5,569.9,0,0,0,0
"85",3436.1,1700,2100,1156.4,579.7,0,0,0,0
"86",3430.2,1700,2099.9,1156.8,573.4,0,0,0,0
"87",3445.4,1700,2100,1159.6,585.8,0,0,0,0
"88",3469.9,1700,2100,1157.4,612.5,0,0,0,0
"89",3460.4,1700,2100,1157.9,602.5,0,0,0,0
"90",3463.7,1700,2100,1160.7,603,0,0,0,0
"91",3470.4,1700,2100,1164.9,605.5,0,0,0,0
"92",3472.7,1700,2100,1161.9,610.8,0,0,0,0
"93",3476.2,1700,2100,1164,612.2,0,0,0,0
"94",3484.2,1700,2100,1164.8,619.4,0,0,0,0
"95",3484.7,1700,2100,1167.6,617.1,0,0,0,0
"96",3496.7,1700,2100,1169,627.7,0,0,0,0
"97",3488.4,1700,2100,1165.7,622.7,0,0,0,0
"98",3497,1700,2100,1168.4,628.6,0,0,0,0
"99",3501.4,1700,2100,1169.7,631.7,0,0,0,0
"100",3503.3,1700,2100,1171.8,631.5,0,0,0,0
"101",3510.9,1700,2100,1169.1,641.8,0,0,0,0
"102",3523.8,1700,2100,1173.7,650.1,0,0,0,0
"103",3531.5,1700,2100,1172.7,658.8,0,0,0,0
"104",3528.8,1700,2099.9,1171.7,657.1,0,0,0,0
"105",3530.5,1700,2100,1175.3,655.2,0,0,0,0
"106",3533.5,1700,2100,1175.5,658,0,0,0,0
"107",3539.8,1700,2100,1174.3,665.5,0,0,0,0
"108",3550.3,1700,2100,1177.2,673.1,0,0,0,0
"109",3542.9,1700,2100,1176.7,666.2,0,0,0,0
"110",3561.3,1700,2100,1174.3,687,0,0,0,0
"111",3554.4,1700,2100,1177.1,677.3,0,0,0,0
"112",3555.6,1700,2100,1179,676.6,0,0,0,0
"113",3583.8,1700,2100,1178.8,705,0,0,0,0
"114",3570.1,1700,2100,1180.9,689.2,0,0,0,0
"115",3564.6,1700,2100,1180.2,684.4,0,0,0,0
"116",3579.2,1700,2100,1181.8,697.4,0,0,0,0
"117",3591,1700,2100,1181.2,709.8,0,0,0,0
"118",3589.8,1700,2100,1182.2,707.6,0,0,0,0
"119",3590.7,1700,2100,1179.8,710.9,0,0,0,0
"120",3600.8,1700,2100,1184.7,716.1,0,0,0,0
"121",3597.5,1700,2100,1185.2,712.3,0,0,0,0
"122",3597.1,1700,2100,1182.3,714.8,0,0,0,0
"123",3604.8,1700,2100,1183.6,721.2,0,0,0,0
"124",3613.5,1700,2100,1184.7,728.8,0,0,0,0
"125",3619.2,1700,2100,1184.5,734.7,0,0,0,0
"126",3620.1,1700,2100,1185.7,734.4,0,0,0,0
"127",3629.3,1700,2100,1184.2,745.1,0,0,0,0
"128",3623.1,1700,2100,1185.6,737.5,0,0,0,0
"129",3630,1700,2100,1187,743,0,0,0,0
